,Unnamed: 0,Unnamed: 0.1,vendor_name,Trip_Pickup_DateTime,Trip_Dropoff_DateTime,Passenger_Count,Trip_Distance,Start_Lon,Start_Lat,Rate_Code,store_and_forward,End_Lon,End_Lat,Payment_Type,Fare_Amt,surcharge,mta_tax,Tip_Amt,Tolls_Amt,Total_Amt
126117,128253,3723430,VTS,2009-01-15 12:00:00,2009-01-15 12:22:00,1,1.8,-73.993825,40.746547,,,-73.971507,40.750652,CASH,12.1,0.0,,0.0,0.0,12.1
30761,31283,902114,VTS,2009-01-15 12:00:00,2009-01-15 12:03:00,1,0.53,-73.958605,40.768643,,,-73.958605,40.768643,CASH,4.1,0.0,,0.0,0.0,4.1
372946,379214,10994593,VTS,2009-01-15 12:00:00,2009-01-15 12:09:00,4,0.8499999999999999,-73.97508999999998,40.761175,,,-73.97910299999998,40.754593,CASH,5.7,0.0,,0.0,0.0,5.7
89525,91063,2641144,VTS,2009-01-15 12:00:00,2009-01-15 12:07:00,1,0.8599999999999999,-73.98061699999998,40.748505,,,-73.977187,40.757592,CASH,5.3,0.0,,0.0,0.0,5.3
395775,402429,11670402,VTS,2009-01-15 12:00:00,2009-01-15 12:31:00,1,5.5,-73.98883999999998,40.777603,,,-73.947068,40.7641,Credit,16.5,0.0,,4.12,0.0,20.62
273552,278148,8065660,VTS,2009-01-15 12:00:00,2009-01-15 12:05:00,1,0.63,-74.00972299999998,40.71258,,,-74.00407699999998,40.707348,CASH,4.5,0.0,,0.0,0.0,4.5
408914,415766,12056778,VTS,2009-01-15 12:00:00,2009-01-15 12:23:00,1,2.58,-73.954277,40.769582,,,-73.980198,40.753093,Credit,12.9,0.0,,1.5,0.0,14.4
233177,237068,6876033,VTS,2009-01-15 12:00:00,2009-01-15 12:08:00,1,1.27,-73.949882,40.772128,,,-73.966052,40.768032,CASH,6.1,0.0,,0.0,0.0,6.1
382641,389055,11280816,DDS,2009-01-15 12:00:00,2009-01-15 12:35:39,1,17.0,-73.977891,40.762541,,,-73.79342699999998,40.657101,CASH,45.0,0.0,,0.0,0.0,45.0
90280,91829,2663915,VTS,2009-01-15 12:00:00,2009-01-15 12:05:00,1,0.78,-73.97276999999998,40.743475,,,-73.97128499999998,40.751755,CASH,4.5,0.0,,0.0,0.0,4.5
258182,262498,7613538,VTS,2009-01-15 12:00:00,2009-01-15 12:23:00,1,3.31,-74.00186499999998,40.741118,,,-73.98132699999998,40.773497,CASH,14.1,0.0,,0.0,0.0,14.1
371446,377686,10948255,VTS,2009-01-15 12:00:00,2009-01-15 12:07:00,1,0.69,-73.96124299999998,40.760648,,,-73.970303,40.759712,CASH,5.3,0.0,,0.0,0.0,5.3
403195,409948,11888043,VTS,2009-01-15 12:00:00,2009-01-15 12:12:00,1,1.81,-73.982275,40.774758,,,-73.97552299999998,40.754678,CASH,7.7,0.0,,0.0,0.0,7.7
233650,237546,6891688,VTS,2009-01-15 12:00:00,2009-01-15 12:17:00,1,2.02,-73.977967,40.752608,,,-73.979783,40.735232,CASH,10.1,0.0,,0.0,0.0,10.1
296338,301314,8742574,VTS,2009-01-15 12:00:00,2009-01-15 12:05:00,4,0.39,-73.96445699999998,40.776038,,,-73.96146,40.777103,CASH,4.1,0.0,,0.0,0.0,4.1
73996,75278,2183908,VTS,2009-01-15 12:00:00,2009-01-15 12:06:00,1,0.8699999999999998,-73.987262,40.744678,,,-73.993262,40.733987,CASH,5.3,0.0,,0.0,0.0,5.3
321896,327315,9492203,VTS,2009-01-15 12:00:00,2009-01-15 12:30:00,1,8.47,-73.970895,40.788217,,,-73.884848,40.72832,CASH,22.9,0.0,,0.0,0.0,22.9
112424,114333,3322746,VTS,2009-01-15 12:00:00,2009-01-15 12:05:00,1,0.06,-73.96700699999998,40.757217,,,-73.974647,40.754832,CASH,4.5,0.0,,0.0,0.0,4.5
38796,39460,1140136,VTS,2009-01-15 12:00:00,2009-01-15 12:04:00,1,0.4199999999999999,-73.972858,40.762583,,,-73.96656299999998,40.761652,CASH,4.1,0.0,,0.0,0.0,4.1
143796,146241,4243126,VTS,2009-01-15 12:00:00,2009-01-15 12:10:00,1,1.33,-73.959987,40.780208,,,-73.96725,40.765897,Credit,6.9,0.0,,1.0,0.0,7.9
212570,216107,6269653,VTS,2009-01-15 12:00:00,2009-01-15 12:21:00,1,3.07,-73.977142,40.73988,,,-73.950587,40.776445,CASH,12.9,0.0,,0.0,0.0,12.9
330421,335955,9741752,VTS,2009-01-15 12:00:00,2009-01-15 12:07:00,2,0.79,-73.97458,40.762108,,,-73.98296499999998,40.755733,Credit,5.3,0.0,,1.5,0.0,6.8
404646,411427,11930463,VTS,2009-01-15 12:00:00,2009-01-15 12:11:00,1,1.68,-73.999705,40.721855,,,-73.99701,40.741322,CASH,7.7,0.0,,0.0,0.0,7.7
100291,102017,2963243,VTS,2009-01-15 12:00:00,2009-01-15 12:08:00,1,1.05,-73.97855199999998,40.750282,,,-73.976222,40.762032,Credit,6.9,0.0,,1.0,0.0,7.9
112560,114471,3327073,VTS,2009-01-15 12:00:00,2009-01-15 12:02:00,1,0.46,-73.95014,40.784248,,,-73.955195,40.782983,CASH,3.7,0.0,,0.0,0.0,3.7
287694,292532,8488226,VTS,2009-01-15 12:00:00,2009-01-15 12:06:00,1,0.69,-73.976782,40.759368,,,-73.97417699999998,40.763953,CASH,4.9,0.0,,0.0,0.0,4.9
3182,3227,91903,VTS,2009-01-15 12:00:00,2009-01-15 12:09:00,1,0.2399999999999999,-73.986357,40.746045,,,-73.99007299999998,40.74485,CASH,6.1,0.0,,0.0,0.0,6.1
187305,190414,5520551,VTS,2009-01-15 12:00:00,2009-01-15 12:15:00,1,2.88,-73.97652499999998,40.755092,,,-73.94627699999998,40.780292,CASH,10.5,0.0,,0.0,0.0,10.5
420594,427638,12392252,VTS,2009-01-15 12:00:00,2009-01-15 12:15:00,2,2.79,-73.994093,40.740857,,,-74.005835,40.710082,CASH,10.5,0.0,,0.0,0.0,10.5
141740,144148,4183010,VTS,2009-01-15 12:00:00,2009-01-15 12:12:00,1,1.44,-73.99274,40.754952,,,-73.971348,40.750857,Credit,7.3,0.0,,2.0,0.0,9.3
286055,290867,8440153,VTS,2009-01-15 12:00:00,2009-01-15 12:09:00,1,2.11,-74.00362,40.748423,,,-73.98415699999998,40.773725,CASH,7.3,0.0,,0.0,0.0,7.3
336117,341753,9909533,VTS,2009-01-15 12:00:00,2009-01-15 12:14:00,1,4.59,-74.007913,40.704372,,,-73.977243,40.747887,CASH,12.9,0.0,,0.0,0.0,12.9
256397,260691,7561979,VTS,2009-01-15 12:00:00,2009-01-15 12:25:00,5,2.33,-73.96741,40.752303,,,-73.992633,40.737167,CASH,13.3,0.0,,0.0,0.0,13.3
382130,388534,11265539,CMT,2009-01-15 12:00:00,2009-01-15 12:14:54,1,6.3,-73.977861,40.752534,,,-74.010822,40.710927,Cash,16.5,0.0,,0.0,0.0,16.5
88301,89812,2604396,VTS,2009-01-15 12:00:00,2009-01-15 12:07:00,1,1.14,-73.95479,40.769497,,,-73.958572,40.780995,CASH,6.1,0.0,,0.0,0.0,6.1
354623,360598,10451422,VTS,2009-01-15 12:00:00,2009-01-15 12:04:00,2,0.7099999999999999,-73.957807,40.785237,,,-73.95342999999998,40.77854,CASH,4.1,0.0,,0.0,0.0,4.1
286271,291087,8445965,VTS,2009-01-15 12:00:00,2009-01-15 12:03:00,3,0.53,-73.973663,40.784487,,,-73.98032999999998,40.782292,CASH,3.7,0.0,,0.0,0.0,3.7
138444,140800,4086704,VTS,2009-01-15 12:00:00,2009-01-15 12:16:00,5,1.49,-73.975863,40.74863,,,-73.991755,40.74926,CASH,9.3,0.0,,0.0,0.0,9.3
269871,274391,7959803,VTS,2009-01-15 12:00:00,2009-01-15 12:21:00,1,2.06,-74.00760699999998,40.725795,,,-73.985493,40.741233,Credit,11.3,0.0,,3.0,0.0,14.3
395712,402366,11668185,VTS,2009-01-15 12:00:00,2009-01-15 12:08:00,1,1.08,-73.950283,40.783623,,,-73.956615,40.771128,CASH,5.7,0.0,,0.0,0.0,5.7
312326,317582,9212092,VTS,2009-01-15 12:00:00,2009-01-15 12:11:00,2,0.92,-73.97819,40.762575,,,-73.97575,40.75425,CASH,7.3,0.0,,0.0,0.0,7.3
340258,345986,10032162,VTS,2009-01-15 12:00:00,2009-01-15 12:20:00,3,2.9,-73.99017,40.7349,,,-73.96213799999998,40.767552,CASH,12.5,0.0,,0.0,0.0,12.5
448483,456026,13215276,VTS,2009-01-15 12:00:00,2009-01-15 12:08:00,1,1.66,-73.98050999999998,40.77815,,,-73.96268499999998,40.766757,CASH,8.099999999999998,0.0,,0.0,0.0,8.099999999999998
265349,269787,7824638,VTS,2009-01-15 12:00:00,2009-01-15 12:22:00,5,2.43,-73.97282199999998,40.762103,,,-74.005628,40.745595,CASH,12.5,0.0,,0.0,0.0,12.5
355164,361150,10467299,VTS,2009-01-15 12:00:00,2009-01-15 12:12:00,1,2.2,-73.978368,40.773028,,,-73.98504699999998,40.7447,Credit,10.1,0.0,,2.0,0.0,12.1
217430,221039,6412367,VTS,2009-01-15 12:00:00,2009-01-15 12:05:00,1,0.98,-73.968378,40.786523,,,-73.955612,40.787827,CASH,5.3,0.0,,0.0,0.0,5.3
175127,178042,5166895,VTS,2009-01-15 12:00:00,2009-01-15 11:59:00,1,1.24,-73.96933699999998,40.761228,,,-73.98034699999998,40.745193,Credit,6.5,0.0,,1.25,0.0,7.75
389763,396316,11492208,VTS,2009-01-15 12:00:00,2009-01-15 12:08:00,2,1.24,-73.969093,40.78573,,,-73.98053,40.770133,Credit,6.9,0.0,,0.0,0.0,6.9
182212,185260,5373920,VTS,2009-01-15 12:00:00,2009-01-15 12:25:00,6,2.74,-74.00488199999998,40.72114,,,-73.980507,40.750813,Credit,16.5,0.0,,3.3,0.0,19.8
224474,228208,6623365,VTS,2009-01-15 12:00:00,2009-01-15 12:06:00,1,1.14,-73.988262,40.749095,,,-73.97857,40.76166,CASH,5.7,0.0,,0.0,0.0,5.7
136382,138695,4027705,CMT,2009-01-15 12:00:00,2009-01-15 12:11:08,1,2.1,-74.003901,40.725905,,,-74.00596899999998,40.748521,Cash,8.099999999999998,0.0,,0.0,0.0,8.099999999999998
448362,455903,13212283,VTS,2009-01-15 12:00:00,2009-01-15 12:05:00,1,1.69,-73.98694299999998,40.776468,,,-73.972232,40.759625,Credit,7.3,0.0,,1.7,0.0,9.0
751,762,21369,VTS,2009-01-15 12:00:00,2009-01-15 12:05:00,1,0.52,-73.9855,40.762963,,,-73.977618,40.75942,CASH,4.1,0.0,,0.0,0.0,4.1
250940,255132,7400779,VTS,2009-01-15 12:00:00,2009-01-15 12:11:00,1,2.61,-73.98129,40.737155,,,-73.956618,40.766717,CASH,8.9,0.0,,0.0,0.0,8.9
310946,316173,9170649,VTS,2009-01-15 12:00:00,2009-01-15 12:08:00,1,1.21,-73.964668,40.797287,,,-73.961392,40.780198,CASH,6.5,0.0,,0.0,0.0,6.5
117969,119976,3487441,VTS,2009-01-15 12:00:00,2009-01-15 12:04:00,1,0.8299999999999998,-73.97952499999998,40.746453,,,-73.97668799999998,40.739452,CASH,4.5,0.0,,0.0,0.0,4.5
219652,223300,6478269,VTS,2009-01-15 12:00:00,2009-01-15 12:15:00,5,1.22,-73.997905,40.746035,,,-73.986593,40.761278,CASH,8.9,0.0,,0.0,0.0,8.9
33563,34128,980867,VTS,2009-01-15 12:00:00,2009-01-15 12:11:00,1,1.22,-73.979055,40.749107,,,-73.987273,40.761842,CASH,6.9,0.0,,0.0,0.0,6.9
52603,53523,1547162,VTS,2009-01-15 12:00:00,2009-01-15 12:01:00,5,0.27,-73.955332,40.780193,,,-73.95832699999998,40.778655,CASH,2.9,0.0,,0.0,0.0,2.9
180652,183671,5328817,VTS,2009-01-15 12:00:00,2009-01-15 12:01:00,5,1.06,-73.985432,40.768022,,,-73.968793,40.76066,Credit,5.7,0.0,,1.0,0.0,6.7
262912,267308,7752301,VTS,2009-01-15 12:00:00,2009-01-15 12:11:00,1,2.03,-73.976118,40.788912,,,-73.96111,40.769763,CASH,8.099999999999998,0.0,,0.0,0.0,8.099999999999998
90565,92119,2670962,VTS,2009-01-15 12:00:00,2009-01-15 12:05:00,1,1.8,-73.99147999999998,40.750932,,,-73.969003,40.749538,CASH,9.7,0.0,,0.0,0.0,9.7
284276,289045,8387072,VTS,2009-01-15 12:00:00,2009-01-15 12:17:00,5,2.83,-73.986472,40.722083,,,-73.99077699999998,40.751145,CASH,11.7,0.0,,0.0,0.0,11.7
92909,94497,2741537,VTS,2009-01-15 12:00:00,2009-01-15 12:28:00,1,4.67,-73.99185799999998,40.738137,,,-73.947477,40.779027,CASH,17.3,0.0,,0.0,0.0,17.3
457765,465454,13486495,VTS,2009-01-15 12:00:00,2009-01-15 12:12:00,3,1.48,-73.97113,40.758908,,,-73.986613,40.738655,CASH,8.099999999999998,0.0,,0.0,0.0,8.099999999999998
229461,233283,6768161,VTS,2009-01-15 12:00:00,2009-01-15 12:08:00,5,1.57,-74.01612699999998,40.710945,,,-74.00458999999998,40.707735,CASH,6.9,0.0,,0.0,0.0,6.9
54787,55735,1612928,VTS,2009-01-15 12:00:00,2009-01-15 12:29:00,1,3.56,-73.96921,40.785708,,,-73.980253,40.744625,CASH,16.5,0.0,,0.0,0.0,16.5
405248,412036,11948152,VTS,2009-01-15 12:00:00,2009-01-15 12:07:00,1,1.62,-73.96272,40.765053,,,-73.933508,40.77939,CASH,6.1,0.0,,0.0,0.0,6.1
328,332,8335,VTS,2009-01-15 12:00:00,2009-01-15 12:06:00,1,1.0,-73.96647,40.767312,,,-73.954622,40.773112,CASH,5.7,0.0,,0.0,0.0,5.7
55080,56034,1621721,VTS,2009-01-15 12:00:00,2009-01-15 12:02:00,1,0.45,-73.97757799999998,40.784255,,,-73.97824199999998,40.788892,CASH,3.3,0.0,,0.0,0.0,3.3
364482,370596,10742074,VTS,2009-01-15 12:00:00,2009-01-15 12:11:00,1,0.99,-73.97040699999998,40.760867,,,-73.970347,40.761595,CASH,6.9,0.0,,0.0,0.0,6.9
104388,106173,3085483,VTS,2009-01-15 12:00:00,2009-01-15 12:18:00,2,2.93,-73.979893,40.75192,,,-73.94767199999998,40.775963,CASH,11.7,0.0,,0.0,0.0,11.7
46938,47745,1378477,VTS,2009-01-15 12:00:00,2009-01-15 12:17:00,1,1.4,-73.97122299999998,40.761128,,,-73.954082,40.764045,CASH,9.7,0.0,,0.0,0.0,9.7
14530,14760,425120,VTS,2009-01-15 12:00:00,2009-01-15 12:06:00,5,0.9399999999999998,-73.973967,40.762883,,,-73.982915,40.753005,CASH,5.3,0.0,,0.0,0.0,5.3
245222,249315,7233313,VTS,2009-01-15 12:00:00,2009-01-15 12:30:00,1,9.56,-73.954272,40.787047,,,-73.947158,40.712862,Credit,24.5,0.0,,4.0,0.0,28.5
110133,112010,3254240,VTS,2009-01-15 12:00:00,2009-01-15 12:09:00,1,1.23,-73.99160999999998,40.760242,,,-73.987638,40.76996,CASH,6.5,0.0,,0.0,0.0,6.5
227138,230914,6701004,DDS,2009-01-15 12:00:00,2009-01-15 12:19:12,1,3.3,-73.987272,40.725212,,,-73.999543,40.758038,CASH,11.7,0.0,,0.0,0.0,11.7
265222,269657,7820609,VTS,2009-01-15 12:00:00,2009-01-15 12:17:00,1,3.05,-73.961398,40.771435,,,-73.996288,40.753158,CASH,11.7,0.0,,0.0,0.0,11.7
150570,153116,4441836,VTS,2009-01-15 12:00:00,2009-01-15 12:16:00,1,1.42,-73.98157299999998,40.733517,,,-73.997743,40.724715,Credit,6.9,0.0,,1.5,0.0,8.4
83964,85414,2476225,VTS,2009-01-15 12:00:00,2009-01-15 12:17:00,3,5.8,-74.011922,40.703793,,,-73.97301,40.754905,CASH,16.5,0.0,,0.0,0.0,16.5
117912,119919,3485207,VTS,2009-01-15 12:00:00,2009-01-15 12:25:00,1,7.74,-73.98366,40.755005,,,-73.94253999999998,40.841527,CASH,21.7,0.0,,0.0,0.0,21.7
221423,225100,6531062,VTS,2009-01-15 12:00:00,2009-01-15 12:10:00,2,0.92,-73.97604699999998,40.744628,,,-73.98804,40.749022,CASH,6.9,0.0,,0.0,0.0,6.9
362369,368459,10681355,VTS,2009-01-15 12:00:00,2009-01-15 12:06:00,5,0.8499999999999999,-73.981075,40.781848,,,-73.982405,40.770147,CASH,4.9,0.0,,0.0,0.0,4.9
86621,88104,2554014,VTS,2009-01-15 12:00:00,2009-01-15 12:12:00,1,1.41,-73.972437,40.7595,,,-73.972088,40.745683,CASH,7.7,0.0,,0.0,0.0,7.7
103786,105561,3067675,VTS,2009-01-15 12:00:00,2009-01-15 12:14:00,1,2.94,-73.966667,40.804068,,,-73.98867,40.768243,CASH,10.9,0.0,,0.0,0.0,10.9
102106,103856,3016821,VTS,2009-01-15 12:00:00,2009-01-15 12:13:00,1,1.76,-73.96517299999998,40.772307,,,-73.981817,40.752452,CASH,8.5,0.0,,0.0,0.0,8.5
390232,396793,11505778,VTS,2009-01-15 12:00:00,2009-01-15 11:59:00,1,0.4099999999999999,-73.97177999999998,40.757328,,,-73.975402,40.75212,Credit,4.1,0.0,,1.0,0.0,5.1
264983,269416,7813803,VTS,2009-01-15 12:00:00,2009-01-15 12:10:00,1,1.03,-73.979568,40.752778,,,-73.987167,40.761932,CASH,6.5,0.0,,0.0,0.0,6.5
191381,194554,5643680,VTS,2009-01-15 12:00:00,2009-01-15 12:03:00,1,1.25,-73.98261499999998,40.735425,,,-73.99861699999998,40.734802,Credit,6.1,0.0,,2.0,0.0,8.099999999999998
446374,453886,13155123,VTS,2009-01-15 12:00:00,2009-01-15 12:16:00,5,0.97,-74.004658,40.73441,,,-73.990988,40.739532,CASH,8.9,0.0,,0.0,0.0,8.9
388344,394877,11451217,VTS,2009-01-15 12:00:00,2009-01-15 12:04:00,1,0.75,-73.95604299999998,40.78713,,,-73.955867,40.779493,CASH,4.1,0.0,,0.0,0.0,4.1
104159,105943,3078575,VTS,2009-01-15 12:00:00,2009-01-15 12:03:00,1,1.19,-73.99440199999998,40.750958,,,-73.97811299999998,40.751467,Credit,6.9,0.0,,3.0,0.0,9.9
306444,311606,9041227,VTS,2009-01-15 12:00:00,2009-01-15 12:16:00,1,1.37,-73.984398,40.769705,,,-73.971953,40.7657,CASH,8.9,0.0,,0.0,0.0,8.9
312602,317864,9220745,VTS,2009-01-15 12:00:00,2009-01-15 12:00:00,4,0.7299999999999999,-74.009313,40.713482,,,-74.002273,40.71876,CASH,4.1,0.0,,0.0,0.0,4.1
286444,291261,8450977,VTS,2009-01-15 12:00:00,2009-01-15 12:15:00,1,2.05,-73.990695,40.750835,,,-73.991337,40.72789,CASH,9.3,0.0,,0.0,0.0,9.3
371397,377635,10946174,VTS,2009-01-15 12:00:00,2009-01-15 12:03:00,1,1.65,-73.971168,40.764372,,,-73.987505,40.779488,CASH,7.7,0.0,,0.0,0.0,7.7
364491,370605,10742116,VTS,2009-01-15 12:00:00,2009-01-15 12:11:00,1,1.77,-73.97145,40.754408,,,-73.98814299999998,40.769612,CASH,7.7,0.0,,0.0,0.0,7.7
282127,286858,8322965,VTS,2009-01-15 12:00:00,2009-01-15 12:05:00,2,0.82,-73.95717999999998,40.780968,,,-73.94752699999998,40.77805,Credit,5.3,0.0,,3.0,0.0,8.3
436458,443789,12861508,CMT,2009-01-15 12:00:00,2009-01-15 12:17:36,2,7.0,-73.974536,40.754332,,,-74.01011699999998,40.721103,Cash,18.5,0.0,,0.0,0.0,18.5
302077,307159,8912444,VTS,2009-01-15 12:00:00,2009-01-15 12:10:00,5,0.98,-73.99176,40.754327,,,-73.995795,40.748165,CASH,6.5,0.0,,0.0,0.0,6.5
442653,450094,13045100,VTS,2009-01-15 12:00:00,2009-01-15 12:28:00,5,3.89,-73.94705999999998,40.776243,,,-73.98859799999998,40.745987,CASH,17.3,0.0,,0.0,0.0,17.3
287849,292691,8493031,VTS,2009-01-15 12:00:00,2009-01-15 12:04:00,2,0.93,-73.946235,40.772827,,,-73.95187,40.781602,CASH,4.9,0.0,,0.0,0.0,4.9
442651,450092,13045098,VTS,2009-01-15 12:00:00,2009-01-15 12:19:00,1,4.28,-73.995305,40.759687,,,-73.952557,40.776735,CASH,13.3,0.0,,0.0,0.0,13.3
325087,330547,9582934,VTS,2009-01-15 12:00:00,2009-01-15 12:06:00,5,0.78,-73.98268199999998,40.748103,,,-73.973562,40.751967,CASH,4.9,0.0,,0.0,0.0,4.9
391427,398009,11542177,VTS,2009-01-15 12:00:00,2009-01-15 12:09:00,1,1.16,-73.96953,40.760485,,,-73.980447,40.745332,CASH,6.5,0.0,,0.0,0.0,6.5
332013,337573,9790019,VTS,2009-01-15 12:00:00,2009-01-15 12:06:00,1,1.84,-74.009685,40.718075,,,-74.00754499999998,40.742952,Credit,7.3,0.0,,2.0,0.0,9.3
42942,43679,1261228,VTS,2009-01-15 12:00:00,2009-01-15 12:11:00,1,0.95,-74.00058199999998,40.737103,,,-73.99930999999998,40.744138,CASH,6.5,0.0,,0.0,0.0,6.5
411334,418220,12125367,VTS,2009-01-15 12:00:00,2009-01-15 12:08:00,5,0.93,-73.987567,40.741472,,,-73.978913,40.752288,CASH,5.7,0.0,,0.0,0.0,5.7
30213,30725,884527,VTS,2009-01-15 12:00:00,2009-01-15 12:38:00,2,17.19,-73.979183,40.761128,,,-74.177223,40.695172,Credit,55.5,0.0,,7.0,8.0,70.5
115838,117813,3423627,VTS,2009-01-15 12:00:00,2009-01-15 12:03:00,1,0.4400000000000001,-73.982325,40.758108,,,-73.988493,40.7514,CASH,3.7,0.0,,0.0,0.0,3.7
457052,464729,13465904,VTS,2009-01-15 12:00:00,2009-01-15 12:10:00,5,1.21,-73.96469999999998,40.77078,,,-73.976445,40.75989,CASH,6.9,0.0,,0.0,0.0,6.9
37215,37851,1091748,VTS,2009-01-15 12:00:00,2009-01-15 12:24:00,2,16.98,-73.781952,40.644743,,,-73.975222,40.749737,CASH,45.0,0.0,,0.0,4.15,49.15
438386,445754,12918906,CMT,2009-01-15 12:00:00,2009-01-15 12:09:26,1,1.3,-73.988206,40.720037,,,-74.005069,40.722748,Cash,6.5,0.0,,0.0,0.0,6.5
82272,83693,2426058,VTS,2009-01-15 12:00:00,2009-01-15 12:25:00,6,6.17,-73.942705,40.84004,,,-73.98516499999998,40.75981,Credit,19.3,0.0,,4.82,0.0,24.12
391782,398371,11551416,VTS,2009-01-15 12:00:00,2009-01-15 12:04:00,1,1.4,-74.005708,40.726015,,,-74.016417,40.716572,Credit,6.9,0.0,,2.0,0.0,8.9
374928,381229,11051846,VTS,2009-01-15 12:00:00,2009-01-15 12:10:00,1,1.38,-73.98691499999998,40.752132,,,-73.966812,40.753245,CASH,7.3,0.0,,0.0,0.0,7.3
6848,6951,199681,VTS,2009-01-15 12:00:00,2009-01-15 12:07:00,1,0.9,-73.957195,40.78005,,,-73.949117,40.785257,CASH,5.3,0.0,,0.0,0.0,5.3
242978,247028,7166872,VTS,2009-01-15 12:00:00,2009-01-15 12:10:00,5,8.01,-73.783387,40.648552,,,-73.83708199999998,40.742657,CASH,18.5,0.0,,0.0,0.0,18.5
108770,110623,3214992,VTS,2009-01-15 12:00:00,2009-01-15 12:45:00,5,18.53,-73.993363,40.760457,,,-74.110118,40.62985,CASH,42.9,0.0,,0.0,8.3,51.2
399566,406269,11783006,VTS,2009-01-15 12:00:00,2009-01-15 12:07:00,1,0.75,-73.96651199999998,40.767968,,,-73.954693,40.765462,CASH,5.3,0.0,,0.0,0.0,5.3
231743,235605,6834543,VTS,2009-01-15 12:00:00,2009-01-15 12:04:00,5,0.4699999999999999,-73.96489699999998,40.764132,,,-73.969485,40.760413,CASH,4.1,0.0,,0.0,0.0,4.1
300223,305273,8857754,VTS,2009-01-15 12:00:00,2009-01-15 12:04:00,4,1.13,-73.975268,40.789725,,,-73.96706299999998,40.803582,CASH,5.3,0.0,,0.0,0.0,5.3
110552,112434,3267722,VTS,2009-01-15 12:00:00,2009-01-15 12:03:00,1,0.79,-73.962733,40.77541,,,-73.95402199999998,40.782052,CASH,5.3,0.0,,0.0,0.0,5.3
469601,477515,13833568,VTS,2009-01-15 12:00:00,2009-01-15 12:18:00,5,2.95,-73.967725,40.792792,,,-73.975797,40.758843,Credit,11.7,0.0,,2.0,0.0,13.7
423690,430784,12484606,VTS,2009-01-15 12:00:00,2009-01-15 12:05:00,1,0.4099999999999999,-73.978933,40.787522,,,-73.97530999999998,40.792222,CASH,3.7,0.0,,0.0,0.0,3.7
397574,404255,11723159,VTS,2009-01-15 12:00:00,2009-01-15 12:25:00,1,2.88,-73.957988,40.76505,,,-73.991667,40.74907,CASH,14.1,0.0,,0.0,0.0,14.1
265139,269574,7818175,VTS,2009-01-15 12:00:00,2009-01-15 12:17:00,1,1.65,-73.996228,40.738187,,,-73.977413,40.750158,Credit,9.7,0.0,,1.0,0.0,10.7
148347,150852,4374957,VTS,2009-01-15 12:00:00,2009-01-15 12:28:00,5,8.79,-73.990802,40.751795,,,-73.99395699999998,40.682497,Credit,24.9,0.0,,4.98,0.0,29.88
